product_id,product_name,price,rating,review_count,sold_count,comment_count,avg_comment_rating,product_url,positive_ratio,neutral_ratio,negative_ratio,estimated_revenue,sold_score,revenue_score,rating_score,review_score,positive_score,negative_penalty,price_score,performance_score,product_label
331905,Sách Dám Dẫn Đầu,90160.0,0.0,0,5,0,0.0,https://tiki.vn/sach-dam-dan-dau-p331905.html?spid=190106287,0.0,0.0,0.0,450800.0,9.97307270370001e-05,6.950929460154553e-05,0.0,0.0,0.0,0.0,0.007294567294567294,0.0007717667348663659,Needs Improvement
333483,Sách Người Giàu Có Nhất Thành Babylon,93000.0,0.0,0,3,0,0.0,https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-p333483.html?spid=274536529,0.0,0.0,0.0,279000.0,5.983843622220006e-05,4.3019283925978705e-05,0.0,0.0,0.0,0.0,0.007553007553007553,0.0007810151853378001,Needs Improvement
335321,Sách Marketing Đột Phá,106200.0,0.0,0,0,0,0.0,https://tiki.vn/sach-marketing-dot-pha-p335321.html?spid=261984596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008754208754208754,0.0008754208754208755,Normal
335935,Sách Quản Lý Nghiệp,69000.0,0.0,0,1,0,0.0,https://tiki.vn/sach-quan-ly-nghiep-p335935.html?spid=275470021,0.0,0.0,0.0,69000.0,1.994614540740002e-05,1.063917774513452e-05,0.0,0.0,0.0,0.0,0.005369005369005369,0.0005445468676886706,Needs Improvement
337704,Sách Built to Last: Successful Habits of Visionary Companies,456000.0,4.0,5,55,2,4.0,https://tiki.vn/sach-built-to-last-successful-habits-of-visionary-companies-p337704.html?spid=46789903,0.8,0.0,0.2,25080000.0,0.001097037997407001,0.0038671098238836775,0.8,0.000812743823146944,0.8,0.2,0.04058604058604059,0.2153809153962415,Premium / Niche Quality
338239,Sách Hạnh Phúc Tại Tâm (The Happiness that Comes from Within),108000.0,0.0,0,0,0,0.0,https://tiki.vn/p/338239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008918008918008919,0.0008918008918008919,Normal
338880,Sách Marketing Du Kích Trong 30 Ngày,125000.0,0.0,0,0,0,0.0,https://tiki.vn/sach-marketing-du-kich-trong-30-ngay-p338880.html?spid=279191310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010465010465010464,0.0010465010465010465,Normal
338938,Sách Những Nguyên Lý Quản Trị Bất Biến Mọi Thời Đại,138000.0,0.0,0,2,0,0.0,https://tiki.vn/sach-nhung-nguyen-ly-quan-tri-bat-bien-moi-thoi-dai-p338938.html?spid=273285847,0.0,0.0,0.0,276000.0,3.989229081480004e-05,4.255671098053808e-05,0.0,0.0,0.0,0.0,0.011648011648011648,0.0011854134152499993,Normal
339033,Sách Cha Và Con (NXB Kim Đồng),100000.0,0.0,0,0,0,0.0,https://tiki.vn/sach-cha-va-con-nxb-kim-dong-p339033.html?spid=279065960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00819000819000819,0.000819000819000819,Needs Improvement
339747,Sách Đắc Nhân Tâm (Tái Bản 2011),68500.0,0.0,0,0,0,0.0,https://tiki.vn/sach-dac-nhan-tam-tai-ban-2011-p339747.html?spid=214180337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005323505323505323,0.0005323505323505324,Needs Improvement
340167,Sách Hiểu Về Trái Tim (Không Kèm CD),142100.0,5.0,1,5,24,4.44,https://tiki.vn/p/340167,0.96,0.04,0.0,710500.0,9.97307270370001e-05,0.00010955269257852284,1.0,0.00016254876462938882,0.96,0.0,0.01202111202111202,0.2972706869334781,Premium / Niche Quality
340266,Sách Tại Sao Lại Chần Chừ? - Bản Mới 2011,64000.0,0.0,0,0,20,4.285714285714286,https://tiki.vn/p/340266,0.8571428571428571,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.004914004914004914,0.08620568620568621,Normal
341286,Sách Đời Thay Đổi Khi Chúng Ta Thay Đổi (Tập 1),75000.0,0.0,0,13,27,4.392857142857143,https://tiki.vn/p/341286,0.8214285714285714,0.14285714285714285,0.03571428571428571,975000.0,0.00025929989029620026,0.00015033620726820517,0.0,0.0,0.8214285714285714,0.03571428571428571,0.005915005915005915,0.07747962390160598,Normal
