,precision,recall,f1-score,support
Best Seller,0.9646017699115044,0.9819819819819819,0.9732142857142857,222.0
High Potential,0.9,1.0,0.9473684210526316,9.0
Needs Improvement,0.9934497816593887,0.9912854030501089,0.9923664122137406,459.0
Normal,0.996661101836394,0.9974937343358395,0.9970772442588726,1197.0
Premium / Niche Quality,0.9876923076923076,0.9727272727272728,0.9801526717557253,330.0
accuracy,0.990978800180424,0.990978800180424,0.990978800180424,0.990978800180424
macro avg,0.9684809922199189,0.9886976784190408,0.9780358069990512,2217.0
weighted avg,0.991058567044943,0.990978800180424,0.9909913908350978,2217.0
