Model,Accuracy,Precision,Recall,F1-score
Decision Tree Classifier,0.9598765432098766,0.9610117014514425,0.9598765432098766,0.9596682305889069
Random Forest Classifier,0.9814814814814815,0.9823044109249819,0.9814814814814815,0.9816953266953266
XGBoost Classifier,0.9814814814814815,0.9820184724907177,0.9814814814814815,0.9814176345749189
